iso_a3,mean_gap,sem_gap,pixel_count,physical_area_km2
TWN,0.22091162204742432,0.006235101725906134,1090.0,26831.572265625
TJK,0.18998616933822632,0.004223129712045193,3089.0,76039.1953125
TZA,0.16277000308036804,0.0010753559181466699,26357.0,648807.0625
THA,0.20274268090724945,0.001159411622211337,19359.0,476543.5
TLS,0.7008821368217468,0.00809063483029604,589.0,14498.89453125
TGO,0.19398774206638336,0.00481747929006815,2027.0,49896.87890625
TUV,,,,
UGA,0.28117015957832336,0.003351491643115878,7708.0,189741.0625
URY,0.01667109690606594,0.0004358105652499944,6799.0,167365.0
UZB,0.054357901215553284,0.0010689328191801906,7213.0,177556.078125
VUT,0.05500992015004158,0.0048380158841609955,232.0,5710.9404296875
VAT,,,,
VEN,0.21796882152557373,0.001673512626439333,18228.0,448702.65625
VNM,0.18642930686473846,0.0015583885833621025,12450.0,306470.6875
ZMB,0.12623542547225952,0.001137563376687467,22727.0,559450.625
ZWE,0.14746415615081787,0.0012338157976046205,14030.0,345364.1875
YEM,1.2338380656728987e-05,5.882435743842507e-06,4113.0,101246.1015625
UKR,0.09752207249403,0.0005709983524866402,23788.0,585568.25
BHR,3.236487464164384e-05,3.0274568416643888e-05,8.0,196.92897033691406
KWT,0.0,0.0,99.0,2436.996337890625
QAT,0.0026612828951328993,0.0005487598245963454,136.0,3347.79248046875
ARE,7.044747690088116e-06,5.248877641861327e-06,700.0,17231.28515625
TUR,0.2460078001022339,0.0010860080365091562,30905.0,760761.25
ISR,0.05670040845870972,0.0039347270503640175,489.0,12037.283203125
BGD,0.054029181599617004,0.001384149887599051,5292.0,130268.515625
MMR,0.16505073010921478,0.0012165639782324433,19304.0,475189.5625
IND,0.03903040662407875,0.0002703247300814837,120286.0,2960975.0
BEN,0.15397584438323975,0.003921959549188614,3900.0,96002.875
NER,0.0019217428052797914,0.00019273936050012708,12320.0,303270.625
NGA,0.17006079852581024,0.0013455323642119765,32784.0,807014.875
111,0.019442275166511536,0.0017815117025747895,235.0,5784.7890625
112,0.0002280745975440368,0.00022563520178664476,47.0,1156.95751953125
113,0.056042417883872986,0.018377458676695824,75.0,1846.208984375
114,0.00888968724757433,0.0022245144937187433,22.0,541.5546875
115,,,,
116,0.0,0.0,4.0,98.46448516845703
117,0.0,0.0,3.0,73.8483657836914
118,0.05000385642051697,0.01385262981057167,17.0,418.47406005859375
119,0.0,0.0,4.0,98.46448516845703
120,,,,
121,0.0,0.0,1.0,24.616121292114258
122,0.20529137551784515,0.0,1.0,24.616121292114258
123,,,,
124,,,,
125,,,,
126,,,,
127,,,,
128,,,,
129,0.22299997508525848,0.010940048843622208,226.0,5563.24365234375
